Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
1,573,1,Apr 8,NYY,,BOS,W6-5,CG(11),5,5,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.400,.400,.600,1.000,2,1.20,-0.002,1.17,0.00%,-0.19,10.00,12.20,RF
2,574,2,Apr 9,NYY,,BOS,W4-2,CG,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.250,.333,.375,.708,2,1.01,0.006,1.02,0.00%,-0.12,4.00,6.20,CF RF
3,575,3,Apr 10,NYY,,BOS,L3-4,CG,5,5,0,2,0,0,0,0,0,0,2,0,0,0,0,1,1,0,.308,.357,.385,.742,3,1.86,-0.041,1.89,-0.03%,0.41,11.00,12.00,RF
4,576,4,Apr 11,NYY,,TOR,L0-3,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.250,.333,.313,.646,3,1.26,-0.038,1.31,-0.02%,-0.28,2.00,3.00,RF
5,577,5,Apr 12,NYY,,TOR,W4-0,CG,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.318,.350,.668,2,.55,-0.037,.55,-0.02%,0.50,5.00,6.00,CF RF
6,578,6,Apr 13,NYY,,TOR,L4-6,CG,5,4,1,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.292,.370,.500,.870,2,1.32,0.121,1.35,0.07%,0.94,19.00,24.70,RF
7,579,7,Apr 14,NYY,,TOR,W3-0,CG,4,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.286,.355,.500,.855,2,.61,-0.041,.62,-0.03%,-0.08,7.00,9.20,CF RF
8,580,8,Apr 15,NYY,@,BAL,L1-2,10-10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.276,.344,.483,.827,8,3.94,-0.106,3.95,-0.06%,-0.44,0.00,0.00,PH
9,581,9,Apr 16,NYY,@,BAL,W5-2,CG,5,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.281,.361,.469,.830,2,1.25,0.073,1.26,0.04%,0.48,7.00,9.20,RF
10,582,10,Apr 17,NYY,@,BAL,L0-5,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.257,.350,.429,.779,2,1.43,-0.097,1.48,-0.06%,-0.61,2.00,3.00,RF
11,583,11,Apr 19,NYY,@,DET,W4-2,CG,5,5,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.250,.333,.400,.733,2,1.04,-0.127,1.02,-0.07%,-1.33,3.00,3.00,RF
12,584,12,Apr 20,NYY,@,DET,W5-3,CG,4,4,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.250,.327,.409,.736,2,1.51,0.078,1.50,0.05%,0.56,7.00,9.50,CF RF
13,585,13,Apr 21,NYY,@,DET,L0-3,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.255,.340,.404,.744,2,1.87,0.067,1.93,0.04%,0.26,5.00,6.00,RF
14,586,14,Apr 22,NYY,,CLE,W4-1,CG,4,3,2,2,0,0,2,3,1,0,0,0,0,0,0,0,0,0,.280,.368,.540,.908,2,.56,0.315,.57,0.19%,2.78,32.00,43.90,CF RF
15,587,15,Apr 23,NYY,,CLE,W5-4,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.259,.344,.500,.844,2,1.66,-0.156,1.74,-0.10%,-0.88,0.00,0.00,RF
16,588,16,Apr 24,NYY,,CLE,W10-2,GS-8,4,3,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,.263,.354,.509,.863,2,.39,0.016,.42,0.01%,-0.41,9.00,12.20,RF
17,589,17,Apr 26,NYY,,BAL,W12-8,CG,5,5,2,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.274,.357,.548,.906,2,.79,0.005,.89,0.00%,1.00,19.00,24.90,CF RF
18,590,18,Apr 27,NYY,,BAL,W5-2,CG,4,4,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.288,.365,.545,.910,2,.78,-0.018,.92,-0.01%,-0.08,8.00,9.20,CF RF
19,591,19,Apr 28,NYY,,BAL,W10-5,CG,5,5,2,2,0,0,1,4,0,0,1,0,0,0,0,0,0,0,.296,.367,.577,.945,2,.85,0.079,1.00,0.06%,2.18,25.00,35.40,RF
20,592,20,Apr 29,NYY,@,KCR,W12-2,GS-8,4,4,1,1,0,0,1,3,0,0,2,0,0,0,0,0,0,0,.293,.361,.600,.961,2,.98,0.068,1.16,0.05%,1.85,18.00,25.70,DH
21,593,22 (1),May 1,NYY,@,KCR,W6-4,CG,5,5,2,2,0,0,2,3,0,0,2,0,0,0,0,0,0,0,.300,.364,.663,1.026,2,1.29,0.198,1.51,0.14%,1.74,30.00,40.90,RF
22,594,23,May 2,NYY,@,TOR,W3-2,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.298,.359,.643,1.002,2,1.16,-0.096,1.56,-0.08%,-0.64,8.00,9.00,CF RF
23,595,24,May 3,NYY,@,TOR,W9-1,GS-9,5,5,1,2,1,0,1,3,0,0,3,0,0,0,0,0,0,0,.303,.361,.674,1.035,2,.60,0.154,.82,0.13%,1.70,23.00,31.70,RF
24,596,25,May 4,NYY,@,TOR,L1-2,CG,4,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,.293,.356,.652,1.009,2,1.49,-0.108,2.01,-0.09%,-0.64,2.00,3.00,RF
25,597,26,May 8 (1),NYY,,TEX,W2-1,CG,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.295,.362,.642,1.004,2,1.60,-0.019,1.91,-0.01%,0.02,7.00,9.20,RF
26,598,27,May 8 (2),NYY,,TEX,L2-4,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.283,.349,.616,.965,2,2.16,-0.210,2.58,-0.15%,-1.55,0.00,0.00,DH
27,599,28,May 9,NYY,,TEX,W1-0,CG,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.284,.354,.608,.962,2,1.64,-0.008,1.97,-0.01%,-0.03,7.00,9.20,CF RF
28,600,29,May 10,NYY,,TOR,W6-5,CG,5,5,2,2,0,0,1,3,0,0,1,0,0,0,0,0,0,0,.290,.356,.626,.982,2,1.80,0.793,2.33,0.62%,2.20,23.00,31.90,CF
